xflr5 v6.42

Plane name :        2412
Polar name :        T1-10.0 m/s-Panel-Inviscid
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -8.000     0.000  -0.388586   0.010640   0.000000   0.010640  -0.000000  -0.000000   0.164661  -0.000000  -0.000000   10.0000     0.1906
   -7.500     0.000  -0.356034   0.008921   0.000000   0.008921  -0.000000  -0.000000   0.147547  -0.000000  -0.000000   10.0000     0.1862
   -7.000     0.000  -0.323406   0.007351   0.000000   0.007351  -0.000000  -0.000000   0.130368  -0.000000  -0.000000   10.0000     0.1809
   -6.500     0.000  -0.290708   0.005929   0.000000   0.005929  -0.000000  -0.000000   0.113127  -0.000000  -0.000000   10.0000     0.1744
   -6.000     0.000  -0.257948   0.004659   0.000000   0.004659  -0.000000  -0.000000   0.095831  -0.000000  -0.000000   10.0000     0.1661
   -5.500     0.000  -0.225130   0.003540   0.000000   0.003540  -0.000000  -0.000000   0.078484  -0.000000  -0.000000   10.0000     0.1555
   -5.000     0.000  -0.192262   0.002574   0.000000   0.002574  -0.000000  -0.000000   0.061093  -0.000000  -0.000000   10.0000     0.1411
   -4.500     0.000  -0.159350   0.001761   0.000000   0.001761  -0.000000  -0.000000   0.043661  -0.000000  -0.000000   10.0000     0.1207
   -4.000     0.000  -0.126402   0.001103   0.000000   0.001103  -0.000000  -0.000000   0.026196  -0.000000  -0.000000   10.0000     0.0897
   -3.500     0.000  -0.093422   0.000600   0.000000   0.000600  -0.000000  -0.000000   0.008701  -0.000000  -0.000000   10.0000     0.0366
   -3.000     0.000  -0.060418   0.000252   0.000000   0.000252  -0.000000  -0.000000  -0.008817  -0.000000  -0.000000   10.0000    -0.0745
   -2.500     0.000  -0.027397   0.000061   0.000000   0.000061  -0.000000   0.000000  -0.026354  -0.000000  -0.000000   10.0000    -0.4537
   -2.000     0.000   0.005635   0.000025   0.000000   0.000025   0.000000   0.000000  -0.043904  -0.000000  -0.000000   10.0000     3.6139
   -1.500     0.000   0.038671   0.000147   0.000000   0.000147   0.000000   0.000000  -0.061462  -0.000000  -0.000000   10.0000     0.7317
   -1.000     0.000   0.071705   0.000424   0.000000   0.000424   0.000000   0.000000  -0.079022  -0.000000  -0.000000   10.0000     0.5052
   -0.500     0.000   0.104730   0.000859   0.000000   0.000859   0.000000   0.000000  -0.096579  -0.000000  -0.000000   10.0000     0.4216
    0.000     0.000   0.137740   0.001449   0.000000   0.001449   0.000000   0.000000  -0.114127  -0.000000  -0.000000   10.0000     0.3781
    0.500     0.000   0.170727   0.002196   0.000000   0.002196   0.000000   0.000000  -0.131662  -0.000000  -0.000000   10.0000     0.3514
    1.000     0.000   0.203686   0.003098   0.000000   0.003098   0.000000   0.000000  -0.149178  -0.000000  -0.000000   10.0000     0.3333
    1.500     0.000   0.236609   0.004155   0.000000   0.004155   0.000000   0.000000  -0.166670  -0.000000  -0.000000   10.0000     0.3203
    2.000     0.000   0.269490   0.005366   0.000000   0.005366   0.000000   0.000000  -0.184132  -0.000000  -0.000000   10.0000     0.3104
    2.500     0.000   0.302323   0.006732   0.000000   0.006732   0.000000   0.000000  -0.201559  -0.000000  -0.000000   10.0000     0.3027
    3.000     0.000   0.335101   0.008249   0.000000   0.008249   0.000000   0.000000  -0.218945  -0.000000  -0.000000   10.0000     0.2965
    3.500     0.000   0.367818   0.009919   0.000000   0.009919   0.000000   0.000000  -0.236286  -0.000000  -0.000000   10.0000     0.2913
    4.000     0.000   0.400466   0.011739   0.000000   0.011739   0.000000   0.000000  -0.253576  -0.000000  -0.000000   10.0000     0.2870
    4.500     0.000   0.433040   0.013709   0.000000   0.013709   0.000000   0.000000  -0.270810  -0.000000  -0.000000   10.0000     0.2834
    5.000     0.000   0.465534   0.015827   0.000000   0.015827   0.000000   0.000000  -0.287983  -0.000000  -0.000000   10.0000     0.2802
    5.500     0.000   0.497940   0.018091   0.000000   0.018091   0.000000   0.000000  -0.305089  -0.000000  -0.000000   10.0000     0.2774
    6.000     0.000   0.530253   0.020500   0.000000   0.020500   0.000000   0.000000  -0.322123  -0.000000  -0.000000   10.0000     0.2749
    6.500     0.000   0.562466   0.023053   0.000000   0.023053   0.000000   0.000000  -0.339080  -0.000000  -0.000000   10.0000     0.2727
    7.000     0.000   0.594573   0.025747   0.000000   0.025747   0.000000   0.000000  -0.355955  -0.000000  -0.000000   10.0000     0.2708
    7.500     0.000   0.626568   0.028580   0.000000   0.028580   0.000000   0.000000  -0.372743  -0.000000  -0.000000   10.0000     0.2690
    8.000     0.000   0.658445   0.031551   0.000000   0.031551   0.000000   0.000000  -0.389438  -0.000000  -0.000000   10.0000     0.2674
    8.500     0.000   0.690198   0.034658   0.000000   0.034658   0.000000   0.000000  -0.406035  -0.000000  -0.000000   10.0000     0.2659
    9.000     0.000   0.721820   0.037898   0.000000   0.037898   0.000000   0.000000  -0.422530  -0.000000  -0.000000   10.0000     0.2645
    9.500     0.000   0.753306   0.041269   0.000000   0.041269   0.000000   0.000000  -0.438917  -0.000000  -0.000000   10.0000     0.2632
   10.000     0.000   0.784650   0.044768   0.000000   0.044768   0.000000   0.000000  -0.455192  -0.000000  -0.000000   10.0000     0.2620
   10.500     0.000   0.815846   0.048393   0.000000   0.048393   0.000000   0.000000  -0.471349  -0.000000  -0.000000   10.0000     0.2608
   11.000     0.000   0.846888   0.052142   0.000000   0.052142   0.000000   0.000000  -0.487384  -0.000000  -0.000000   10.0000     0.2598
   11.500     0.000   0.877771   0.056011   0.000000   0.056011   0.000000   0.000000  -0.503291  -0.000000  -0.000000   10.0000     0.2588
   12.000     0.000   0.908489   0.059998   0.000000   0.059998   0.000000   0.000000  -0.519066  -0.000000  -0.000000   10.0000     0.2578


